Days,Relative_distance
1,1.321084789
1,1.314352424
1,1.105109698
1,1.059771232
1,1.912796197
1,1.443356265
1,1.396714472
1,1.318669135
1,1.106010388
1,1.107593686
1,1.2064263
1,1
1,1.794062803
1,1
1,1.408726469
1,1
1,3.456787138
1,1.006406148
1,1.264622324
2,1.282095559
2,1
2,1.031860359
2,1.181648898
2,1.956543309
2,1
2,1.107781965
2,1.05383023
2,1
2,1
2,1.216753376
2,1.163526384
2,1.006268033
2,1.071292348
2,1.779735431
2,1.320749608
2,1
2,2.000258075
2,1
3,1
3,1
3,1
3,1
3,2.438790786
3,1.069126436
3,1.177923368
3,1.130979056
3,1.082704836
3,1.774174013
3,1
3,1
3,1
3,1.387676386
3,1
3,1.143186618
3,1.092152192
3,2.22816866
3,1.042187539
4,1.894144363
4,1.31942385
4,1.071550749
4,1.504865518
4,2.974046154
4,1.726518091
4,1.512572576
4,1.330331016
4,1
4,1.525487513
4,1.259104341
4,1
4,1.090504166
4,1.404195676
4,1.092770903
4,1
4,1.03847087
4,1
4,1.098298199
5,1.030932546
5,1.269247573
5,1
5,1
5,1
5,1.771519112
5,1.70296562
5,1.037738186
5,1.196041869
5,1.076351235
5,1
5,1.936797064
5,1
5,1
5,1.412884823
5,1
5,2.94276338
5,1.280556905
5,1.239393605
