latitude,longitude,lat_radians,long_radians,name,groupclust,found,shortest_distance_travelled,Actual_distance_travelled,relative_distance
52.35841,4.950218,0.913826646,0.086397603,T112,1,1,,,
52.358577,4.949713,0.91382956,0.086388789,T108,2b,2,38.99865315,50,1.282095559
52.358557,4.949622,0.913829211,0.086387201,T107,3a,3,6.567711465,5,0.761300192
52.358475,4.948994,0.91382778,0.08637624,T103,3a,4,43.61055214,45,1.031860359
52.358618,4.948512,0.913830276,0.086367827,T099,2b,5,36.38982787,43,1.181648898
52.360033,4.94813,0.913854972,0.08636116,T006,2b,6,159.4649087,312,1.956543309
52.360331,4.948146,0.913860173,0.08636144,T175,3a,7,33.15390168,33,0.995357962
52.36059,4.948179,0.913864694,0.086362016,T008,4b,8,28.88655079,32,1.107781965
52.361111,4.94833,0.913873787,0.086364651,T012,1,9,58.83300579,62,1.05383023
52.361196,4.948293,0.913875271,0.086364005,T168,4b,10,9.779718145,6,0.613514614
52.36111636,4.948320753,0.913873881,0.08636449,T013,3a,11,9.053761909,9,0.994061926
52.361104,4.948251,0.913873665,0.086363272,T011,4b,12,4.931155415,6,1.216753376
52.361961,4.949394,0.913888622,0.086383221,T021,2b,13,122.9022409,143,1.163526384
52.361788,4.949547,0.913885603,0.086385892,T157,3a,14,21.86296222,22,1.006268033
52.36174696,4.949770823,0.913884887,0.086389798,T031,2b,15,15.86868425,17,1.071292348
52.361714,4.949936,0.913884311,0.086392681,T030,1,16,11.79950662,21,1.779735431
52.361613,4.950132,0.913882549,0.086396102,T155,2b,17,17.41435307,23,1.320749608
52.361648,4.949988,0.913883159,0.086393589,T156,1,18,10.52369661,7,0.665165508
52.360679,4.951471,0.913866247,0.086419472,T061,1,19,147.4809694,295,2.000258075
52.359819,4.952137,0.913851237,0.086431096,T141,3a,20,105.7827607,105,0.9926003
