latitude,longitude,lat (radians),long(radians),treeid,name,groupuni,Found,shortest_distance (m),actual_distances_m,relative_distance_travelled
52.360179,4.95113,0.913857521,0.08641352,52,T052,1,1,,,
52.360735,4.951497,0.913867225,0.086419926,145,T145,3,2,66.66154906,76,1.140087518
52.360764,4.951597,0.913867731,0.086421671,147,T147,4,3,7.516094152,19,2.527908727
52.361293,4.951167,0.913876964,0.086414166,154,T154,3,4,65.6718998,111,1.690220632
52.361316,4.951009,0.913877365,0.086411408,40,T040,3,5,11.03048484,37,3.354340316
52.361579,4.950311,0.913881955,0.086399226,33,T033,4,6,55.69102343,119,2.136789606
52.361648,4.949988,0.913883159,0.086393589,156,T156,1,7,23.23414139,105,4.519211545
52.361714,4.949936,0.913884311,0.086392681,30,T030,1,8,8.145094486,15,1.841599263
52.361766,4.948806,0.913885219,0.086372959,18,T018,1,9,76.94820685,126,1.637465058
52.361542,4.948347,0.913881309,0.086364948,166,T166,4,10,39.89937559,46,1.152900248
52.361193,4.948267,0.913875218,0.086363551,169,T169,1,11,39.18459455,44,1.122890271
52.361111,4.94833,0.913873787,0.086364651,12,T012,1,12,10.07164634,23,2.283638565
52.359884,4.947896,0.913852372,0.086357076,181,T181,2a,13,139.5818806,159,1.139116333
52.358678,4.947706,0.913831323,0.08635376,1,T001,3,14,134.7223532,208,1.543916025
52.35849,4.949219,0.913828042,0.086380167,104,T104,2a,15,104.8512983,933,8.898316138
52.358563,4.949287,0.913829316,0.086381354,105,T105,2a,16,9.338468273,43,4.604609529
52.35841,4.950218,0.913826646,0.086397603,112,T112,4,17,65.47136269,78,1.19136057
52.358369,4.951124,0.91382593,0.086413415,119,T119,3,18,61.69238693,110,1.783040104
52.358385,4.951331,0.913826209,0.086417028,121,T121,4,19,14.16986842,21,1.482017996
52.359477,4.950839,0.913845268,0.086408441,84,T084,3,20,125.9376396,154,1.222827428
