latitude,longitude,lat_rad,long_rad,name,groupuni,found,shortest_distance,actual distance,relative distance
52.359268,4.952588,0.913841621,0.086438967,T075,1,1,,,
52.360526,4.951509,0.913863577,0.086420135,T053,4e,2,157.911392,167,1.057555113
52.360679,4.951471,0.913866247,0.086419472,T061,1,3,17.20713733,16,0.929846708
52.360735,4.951497,0.913867225,0.086419926,T145,3a,4,6.472331866,21,3.244580228
52.361293,4.951167,0.913876964,0.086414166,T154,3a,5,65.96930831,70,1.061099499
52.361316,4.951009,0.913877365,0.086411408,T040,3a,6,11.02925916,22,1.994694265
52.361648,4.949988,0.913883159,0.086393589,T156,1,7,78.54632391,80,1.018507245
52.361714,4.949936,0.913884311,0.086392681,T030,1,8,8.143987891,22,2.701379262
52.361809,4.949641,0.913885969,0.086387532,T022,2a,9,22.64639696,44,1.942913925
52.361766,4.948806,0.913885219,0.086372959,T018,1,10,56.90094213,90,1.581696131
52.361259,4.948502,0.91387637,0.086367653,T014,4e,11,60.03634985,69,1.149303716
52.361166,4.948338,0.913874747,0.086364791,T170,2a,12,15.19735921,29,1.908226265
52.3610525,4.948158817,0.913872766,0.086361663,T012,1,13,17.53092805,13,0.741546595
52.359884,4.947896,0.913852372,0.086357076,T181,2a,14,131.1512501,155,1.181841575
52.359597,4.948084,0.913847363,0.086360357,T183,2a,15,34.37182251,40,1.163743936
52.358678,4.947706,0.913831323,0.08635376,T001,3a,16,105.3628275,101,0.958592346
52.358563,4.949287,0.913829316,0.086381354,T105,2a,17,108.1224273,137,1.267082172
52.35849,4.949219,0.913828042,0.086380167,T104,2a,18,9.338468273,9,0.963755483
52.358883,4.949587,0.913834901,0.08638659,T089,1,19,50.34051037,57,1.132288878
52.35841,4.950218,0.913826646,0.086397603,T112,1,20,67.84095257,68,1.002344416
