latitude,longitude,lat_rad,long_rad,name,groupclust,found,shortest_distance,actual_distance,relative_distance,actual_distance_cumulative
52.358708,4.950337,0.913831847,0.08639968,T115,3b,1,,,,
52.35841,4.950218,0.913826646,0.086397603,T112,1,2,34.10728124,10,0.293192528,117
52.358542,4.950116,0.913828949,0.086395823,T111,4c,3,16.23004925,16,0.985825721,133
52.359069,4.952401,0.913838147,0.086435703,T078,4c,4,165.8669361,30,0.180867873,163
52.358714,4.949672,0.913831951,0.086388073,T109,3b,5,189.4790112,26,0.137218364,189
52.358578,4.949506,0.913829578,0.086385176,T106,4c,6,18.86180654,46,2.438790786,235
52.358563,4.949287,0.913829316,0.086381354,T105,2a,7,14.96548908,16,1.069126436,251
52.35849,4.949219,0.913828042,0.086380167,T104,2a,8,9.338468273,11,1.177923368,262
52.358615,4.948601,0.913830224,0.086369381,T100,4c,9,44.20948358,50,1.130979056,312
52.360113,4.947982,0.913856369,0.086358577,T178,3b,10,171.7919731,186,1.082704836,498
52.360219,4.947998,0.913858219,0.086358856,T176,3b,11,11.83649396,21,1.774174013,519
52.360147,4.948148,0.913856962,0.086361474,T007,3b,12,12.95579893,12,0.926226168,531
52.36009,4.948132,0.913855967,0.086361195,T177,4c,13,6.430421226,4,0.622043232,535
52.360775,4.948261,0.913867923,0.086363447,T010,4c,14,76.67058361,61,0.795611526,596
52.36108443,4.948144095,0.913873323,0.086361406,T012,1,15,35.31082643,49,1.387676386,645
52.361193,4.948267,0.913875218,0.086363551,T169,1,16,14.6760268,10,0.681383329,655
52.361766,4.948806,0.913885219,0.086372959,T018,1,17,73.47881672,84,1.143186618,739
52.361731,4.948731,0.913884608,0.08637165,T163,3b,18,6.409363137,7,1.092152192,746
52.361497,4.949752,0.913880524,0.08638947,T024,2a,19,74.0518449,165,2.22816866,911
52.361809,4.949641,0.913885969,0.086387532,T022,2a,20,35.50224753,37,1.042187539,948
