latitude,longitude,lat_rad,long_rad,name,groupuni,found,shortest_distance,actual_distance,relative_distance,actualdistcumul
52.358672,4.95204,0.913831218,0.086429403,T128,4d,1,,,,
52.359268,4.952588,0.913841621,0.086438967,T075,1,2,76.00565253,85,1.118337876,97
52.359501,4.952678,0.913845687,0.086440538,T073,2b,3,26.61949189,25,0.939161427,122
52.359792,4.952399,0.913850766,0.086435668,T138,2b,4,37.49643829,50,1.333459984,172
52.359825,4.952364,0.913851342,0.086435058,T140,1,5,4.371149379,15,3.431591716,187
52.360679,4.951471,0.913866247,0.086419472,T061,1,6,112.6708019,134,1.189305461,321
52.361077,4.951539,0.913873194,0.086420659,T149,3b,7,44.49580045,50,1.123701551,371
52.361308,4.951208,0.913877225,0.086414882,T153,4d,8,34.13158321,57,1.670007501,428
52.361613,4.950132,0.913882549,0.086396102,T155,2b,9,80.55241851,77,0.955899294,505
52.361648,4.949988,0.913883159,0.086393589,T156,1,10,10.52369661,20,1.90047288,525
52.361714,4.949936,0.913884311,0.086392681,T030,1,11,8.143987891,14,1.719059531,539
52.361961,4.949394,0.913888622,0.086383221,T021,2b,12,45.92239295,53,1.154121042,592
52.361766,4.948806,0.913885219,0.086372959,T018,1,13,45.43504576,73,1.606689259,665
52.361237,4.948663,0.913875986,0.086370463,T015,3b,14,59.61815774,72,1.207685758,737
52.358883,4.949587,0.913834901,0.08638659,T089,1,15,269.1682742,870,3.232178839,1607
52.358618,4.948512,0.913830276,0.086367827,T099,2b,16,78.72426225,116,1.473497454,1723
52.358577,4.949713,0.91382956,0.086388789,T108,2b,17,81.68563163,93,1.138511121,1816
52.35841,4.950218,0.913826646,0.086397603,T112,1,18,38.99865315,44,1.128244092,1860
52.358464,4.951393,0.913827588,0.08641811,T122,4d,19,80.01863063,99,1.237211875,1959
52.358437,4.951674,0.913827117,0.086423015,T124,3b,20,19.31694211,20,1.03536056,1979
