latitude,longitude,lat_radians,long_radians,name,groupclust,found,shortest distance travelled,actual distance travelled,relative distance travelled
52.359156,4.952335,0.913839666,0.086434551,T079,3a,1,,,
52.359819,4.952137,0.913851237,0.086431096,T141,3a,2,74.93841487,99,1.321084789
52.361648,4.949988,0.913883159,0.086393589,T156,1,3,250.3133818,329,1.314352424
52.361714,4.949936,0.913884311,0.086392681,T030,1,4,8.143987891,9,1.105109698
52.361809,4.949641,0.913885969,0.086387532,T022,2a,5,22.64639696,24,1.059771232
52.361788,4.949547,0.913885603,0.086385892,T157,3a,6,6.796333044,13,1.912796197
52.362022,4.949242,0.913889687,0.086380568,T020,4,7,33.25582268,48,1.443356265
52.362085,4.949189,0.913890787,0.086379643,T158,4,8,7.875625418,11,1.396714472
52.361766,4.948806,0.913885219,0.086372959,T018,1,9,43.98373973,58,1.318669135
52.361173,4.948251,0.913874869,0.086363272,T013,3a,10,75.94865371,84,1.106010388
52.360331,4.948146,0.913860173,0.08636144,T175,3a,11,93.89724891,104,1.107593686
52.360018,4.948134,0.913854711,0.08636123,T179,4,12,34.81356467,42,1.2064263
52.359878,4.947994,0.913852267,0.086358787,T180,3a,13,18.2409226,16,0.877148615
52.359884,4.947896,0.913852372,0.086357076,T181,2a,14,6.688729057,12,1.794062803
52.359848,4.947902,0.913851743,0.086357181,T182,4,15,4.023285796,4,0.994212244
52.359597,4.948084,0.913847363,0.086360357,T183,2a,16,30.52402361,43,1.408726469
52.358883,4.949587,0.913834901,0.08638659,T089,1,17,129.3081489,1,0.007733465
52.35965,4.951925,0.913848288,0.086427396,T066,4,18,180.2251557,623,3.456787138
52.359597,4.9524,0.913847363,0.086435686,T069,4,19,32.78994278,33,1.006406148
52.359268,4.952588,0.913841621,0.086438967,T075,1,20,38.74674602,49,1.264622324
