latitude,longitude,lat_rad,long_rad,name,groupclust,found,shortest_distance,actual distance_cumulative,actual_distance_interval,relative_distance
52.35841,4.950218,0.913826646,0.086397603,T112,1,1,,,,
52.358557,4.949622,0.913829211,0.086387201,T107,3a,2,43.64980056,176,45,1.030932546
52.35849,4.949219,0.913828042,0.086380167,T104,2a,3,28.36326085,212,36,1.269247573
52.358563,4.949287,0.913829316,0.086381354,T105,2a,4,9.338468273,218,6,0.642503655
52.358475,4.948994,0.91382778,0.08637624,T103,3a,5,22.17303259,232,14,0.63139762
52.358534,4.948697,0.91382881,0.086371056,T101,4a,6,21.20906401,253,21,0.990142705
52.359597,4.948084,0.913847363,0.086360357,T183,2a,7,125.3161756,475,222,1.771519112
52.359741,4.948029,0.913849876,0.086359398,T005,4d,8,16.44190562,503,28,1.70296562
52.359878,4.947994,0.913852267,0.086358787,T180,3a,9,15.4181471,519,16,1.037738186
52.359884,4.947896,0.913852372,0.086357076,T181,2a,10,6.688729057,527,8,1.196041869
52.36112434,4.948342836,0.91387402,0.086364875,T012,1,11,141.2178433,679,152,1.076351235
52.361166,4.948338,0.913874747,0.086364791,T170,2a,12,4.645043558,683,4,0.861132937
52.361193,4.948267,0.913875218,0.086363551,T169,1,13,5.679479902,694,11,1.936797064
52.3611004,4.948129374,0.913873602,0.086361149,T013,3a,14,13.90502372,698,4,0.287665816
52.361766,4.948806,0.913885219,0.086372959,T018,1,15,87.11315913,768,70,0.803552537
52.362084,4.948785,0.913890769,0.086372592,T161,3a,16,35.38858879,818,50,1.412884823
52.361788,4.949547,0.913885603,0.086385892,T157,3a,17,61.3236466,871,53,0.864266934
52.361809,4.949641,0.913885969,0.086387532,T022,2a,18,6.796333044,891,20,2.94276338
52.361714,4.949936,0.913884311,0.086392681,T030,1,19,22.64639696,920,29,1.280556905
52.361687,4.950059,0.91388384,0.086394828,T032,4b,20,8.875308016,931,11,1.239393605
